Ростовская область,Сумма,Азовская городская,Азовская,Аксайская,Багаевская,Батайская городская,Белокалитвинская,Боковская,Верхнедонская,Веселовская,Волгодонская городская,Волгодонская,Гуковская городская,Донецкая городская,Дубовская,Егорлыкская,Заветинская,Зверевская городская,Зерноградская,Зимовниковская,Кагальницкая,Каменск-Шахтинская городская,Каменская,Кашарская,Константиновская,Красносулинская,Куйбышевская,Мартыновская,Матвеево-Курганская,Миллеровская,Милютинская,Морозовская,Мясниковская,Неклиновская,Новочеркасская городская,Новошахтинская городская,Обливская,Октябрьская,Орловская,Песчанокопская,Пролетарская,Ремонтненская,Родионово-Несветайская,"Ростов-на-Дону, Ворошиловская","Ростов-на-Дону, Железнодорожная","Ростов-на-Дону, Кировская","Ростов-на-Дону, Ленинская","Ростов-на-Дону, Октябрьская","Ростов-на-Дону, Первомайская","Ростов-на-Дону, Пролетарская","Ростов-на-Дону, Советская",Сальская,Семикаракорская,Советская,Таганрогская городская,Тарасовская,Тацинская,Усть-Донецкая,Целинская,Цимлянская,Чертковская,Шахтинская городская,Шолоховская
"избирателей, включенных в список избирателей",3210796,63021,72931,83860,27780,94223,75873,11274,15557,18290,125213,22906,47197,36138,15630,27022,10085,17570,47622,25184,24514,68950,37071,17764,25040,57743,10769,28183,31088,52478,11659,33364,38209,68180,128449,67751,13290,58819,27519,24445,23452,12943,17799,152197,70141,48610,51822,116299,134825,92290,135101,82765,41025,4702,221069,21982,27729,20274,26548,27983,26231,172177,20171
"изб.бюллетеней, полученных участковой избирательной комиссией",2930263,62195,71752,74132,28051,75354,81650,10390,15405,17120,113000,22506,46040,37008,14532,25861,9350,17009,43010,24840,23155,68001,34216,18321,25175,53363,10620,28990,31634,50915,12168,34119,32387,62482,95100,51730,13893,53540,27910,23590,24100,12709,17889,138487,66150,42135,43800,108200,120300,80993,117210,80674,39090,4745,189786,22564,28652,21155,25259,23678,24905,137228,20040
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1920477,39143,50989,55666,14519,57115,44456,8568,10570,10934,77064,15606,24178,18496,10221,21236,5826,9590,27603,13798,15386,39547,22995,10959,15103,31369,6072,15384,20174,29586,6904,19861,26596,44562,75029,30788,6800,42434,19585,17495,15356,8342,12777,98602,41661,28831,29470,68521,76571,53242,79072,57493,23468,3331,125021,11832,17862,15578,16543,14707,18448,80185,11357
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",159301,1662,3030,4614,1437,1801,3969,699,1708,1139,2753,1259,1987,2456,1705,2054,1244,809,2427,1655,1308,2546,2890,1730,1593,3887,555,1468,2765,2989,1406,1357,1194,3340,3112,4792,1301,2496,2063,2007,1529,1050,809,7774,5040,3069,2521,5676,5930,3721,4289,4484,2211,522,5850,2155,1858,1380,1694,1554,3397,7871,1710
"изб.бюллетеней, погашенных",850461,21390,17732,13849,12095,16438,33225,1123,3127,5047,33183,5641,19875,16056,2606,2571,2280,6610,12980,9387,6461,25908,8331,5632,8479,18105,3993,12138,8695,18340,3858,12895,4597,14580,16959,16150,5792,8610,6262,4088,7215,3317,4303,32111,19449,10234,11809,34003,37799,24025,33849,18695,13411,892,58915,8577,8932,4197,7020,7417,3060,49170,6973
"изб.бюллетеней, в переносных ящиках для голосования",159294,1662,3030,4614,1437,1801,3969,699,1708,1139,2753,1259,1987,2456,1705,2054,1244,809,2427,1655,1308,2546,2890,1730,1593,3887,555,1468,2765,2989,1406,1357,1194,3340,3112,4792,1301,2496,2063,2007,1529,1050,809,7774,5040,3069,2521,5676,5928,3721,4288,4484,2211,522,5847,2155,1858,1380,1694,1554,3397,7871,1709
"изб.бюллетеней, в стационарных ящиках для голосования",1918992,39140,50979,55665,14519,56956,44450,8568,10493,10933,76959,15606,24170,18493,10221,21236,5824,9590,27603,13796,15386,39546,22995,10959,15103,31364,6072,15384,20172,29545,6904,19859,26591,44561,75004,30786,6800,42356,19584,17495,15356,8342,12777,98583,41660,28794,29428,68198,76564,53230,78721,57490,23467,3331,124881,11832,17862,15578,16543,14707,18448,80177,11356
"изб.бюллетеней, недействительных",18200,343,418,518,222,441,380,30,87,117,779,165,317,145,80,158,51,112,269,165,186,336,139,69,131,283,60,230,226,201,42,165,458,349,923,308,72,269,122,109,242,64,132,774,338,236,394,649,680,381,897,330,338,24,1342,108,175,104,110,192,137,957,121
"изб.бюллетеней, действительных",2060086,40459,53591,59761,15734,58316,48039,9237,12114,11955,78933,16700,25840,20804,11846,23132,7017,10287,29761,15286,16508,41756,25746,12620,16565,34968,6567,16622,22711,32333,8268,21051,27327,47552,77193,35270,8029,44583,21525,19393,16643,9328,13454,105583,46362,31627,31555,73225,81812,56570,82112,61644,25340,3829,129386,13879,19545,16854,18127,16069,21708,87091,12944
"изб.бюллетеней, утраченных",26,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,2,0,0,0,0,0,0,2,0,0,2,0
"изб.бюллетеней, не учтенных при получении",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,11741,247,220,297,89,301,294,21,70,61,503,73,181,106,38,75,36,51,194,74,87,263,124,60,108,167,19,88,114,159,37,84,172,249,464,176,50,173,107,70,99,48,56,659,367,214,191,517,583,327,628,279,123,10,894,45,93,67,68,84,94,500,93
Грудинин,236287,4743,4315,6286,1441,6659,5867,683,1254,1569,9774,1493,3876,2029,1093,1668,872,1013,4440,2540,2274,5443,2381,1246,1797,4108,727,1733,2200,3199,927,2324,4552,3705,12139,3871,927,3800,2214,1934,2958,1442,1142,10099,4829,3655,2981,8825,10914,6305,10134,7831,2514,339,16493,1100,1919,1475,1815,2002,1890,10414,2095
Жириновский,106905,1776,2200,2601,686,2722,3398,413,706,658,5041,811,2017,1472,542,774,334,693,1842,945,1040,3130,1432,658,1042,2272,375,971,1313,1757,522,1298,1113,2103,4266,2133,572,2183,1008,679,1074,390,610,4134,1971,1245,1043,3170,3975,2399,3804,2552,1449,170,6882,868,889,876,976,1131,1185,5648,966
Путин,1641189,32420,45942,49069,13209,46914,37407,7996,9916,9425,60809,14031,19047,16688,9985,20287,5620,8329,22548,11441,12680,31759,21429,10493,13276,27629,5353,13477,18702,26674,6649,16936,20596,40542,57327,28252,6308,37471,17776,16415,12178,7239,11398,85939,37134,24552,25758,56909,62740,44660,63041,50005,20692,3273,99640,11616,16297,14184,14997,12454,18264,67854,9538
Собчак,23036,396,339,597,110,631,329,39,59,84,983,115,233,158,89,119,70,59,228,120,125,397,102,52,104,254,36,123,119,177,40,127,357,301,1164,250,62,309,124,99,121,86,75,1820,750,828,685,1466,1325,1012,1740,328,171,18,1902,68,98,79,91,126,86,1005,76
Сурайкин,14121,283,249,324,116,361,370,41,60,80,680,74,224,175,55,112,51,54,268,105,148,335,146,71,115,289,35,129,161,191,40,156,221,303,552,248,61,294,127,94,103,64,80,727,342,186,176,546,595,377,614,311,194,13,1015,92,139,67,96,134,100,660,92
Титов,13046,289,167,324,46,385,206,26,31,53,610,58,134,109,23,54,19,45,152,31,81,215,77,23,74,154,13,59,58,92,32,65,155,183,656,171,27,208,91,52,67,33,48,900,436,401,336,810,842,623,909,186,114,3,1159,50,61,61,47,81,38,542,51
Явлинский,13761,305,159,263,37,343,168,18,18,25,533,45,128,67,21,43,15,43,89,30,73,214,55,17,49,95,9,42,44,84,21,61,161,166,625,169,22,145,78,50,43,26,45,1305,533,546,385,982,838,867,1242,152,83,3,1401,40,49,45,37,57,51,468,33
